PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ACTIVE_FLAG,ADD_DATE,MODIFIED_Date
SWPT006796,Working Software,6/14/2019 0:00,10/9/2019 0:00,N,7/11/2019 17:02,10/10/2019 8:04
SWPT006797,Working Software,6/14/2019 0:00,10/9/2019 0:00,N,7/11/2019 17:02,10/10/2019 8:04
